Data;Produto;Quantidade;Pre�o
01/01/2024;Docinhos Brigadeiro Branco Festa cento;1;R$ 80,00
01/01/2024;Bolo de Festa15 Pequeno Cajuzinho;1;R$ 85,00
01/01/2024;Cupcake (Sabores);3;R$ 18,00
02/01/2024;Docinhos Gourmet Casadinho cento;1;R$ 90,00
02/01/2024;Bolo de Festa15 Pequeno Doce de Leite;1;R$ 85,00
02/01/2024;Bolo da Tarde Chocolate;1;R$ 20,00
03/01/2024;Cupcake (Sabores);3;R$ 9,00
03/01/2024;Bolo de Festa15 Pequeno Abacaxi;1;R$ 85,00
04/01/2024;Bolo de Festa40 Corte Abacaxi Coco;1;R$ 140,00
04/01/2024;Bolo de Festa15 Corte Ninho Chocolate;1;R$ 85,00
04/01/2024;Bolo da Tarde Coco;1;R$ 20,00
08/01/2024;Docinhos Gourmet Churros cento;1;R$ 90,00
08/01/2024;Bolo de Festa35 Medio Amendoim;1;R$ 160,00
09/01/2024;Bolo de Festa40 Corte  Amendoim;1;R$ 140,00
09/01/2024;Torta Salgada Festa Pequena;1;R$ 150,00
10/01/2024;Bolo de Festa15 Pequeno Coco;1;R$ 85,00
10/01/2024;Torta Salgada Festa Pequena;1;R$ 150,00
10/01/2024;Docinhos Cajuzinho de Festa cento;1;R$ 80,00
11/01/2024;Bolo de Festa15 Pequeno Chocolate;1;R$ 85,00
11/01/2024;Bolo de Festa15 Pequeno Amendoim;1;R$ 85,00
11/01/2024;KIT Adulto Festa3;1;R$ 165,00
15/01/2024;Docinhos Gourmet Morango com Nutella cento;1;R$ 90,00
15/01/2024;Bolo de Festa15 Pequeno Amendoim;1;R$ 85,00
15/01/2024;Bolo de Festa35 Medio Doce de Leite;1;R$ 160,00
16/01/2024;Bolo de Festa15 Pequeno Abacaxi;1;R$ 85,00
16/01/2024;Bolo de Festa40 Corte  Doce de Leite Coco;1;R$ 140,00
16/01/2024;Bolo de Festa40 Corte Ninho Chocolate;1;R$ 140,00
17/01/2024;Docinhos Gourmet Coco queimado cento;1;R$ 90,00
17/01/2024;Docinhos Gourmet Napolitano cento;1;R$ 90,00
18/01/2024;Docinhos Gourmet Romeu e Julieta cento;1;R$ 90,00
18/01/2024;Bolo de Festa85 Corte Ninho Chocolate;1;R$ 165,00
22/01/2024;Bolo de Festa25 Pequeno Amendoim;1;R$ 145,00
22/01/2024;Bolo de Festa35 Medio Abacaxi;1;R$ 160,00
22/01/2024;Bolo de Festa35 Gourmet Medio (Sabores);1;R$ 85,00
22/01/2024;Bolo da Tarde Chocolate;2;R$ 40,00
23/01/2024;Docinhos Gourmet Sensacao cento;1;R$ 90,00
24/01/2024;Bolo de Festa15 Corte Ninho;1;R$ 85,00
24/01/2024;Bolo de Festa25 Pequeno Abacaxi Coco;1;R$ 145,00
25/01/2024;Bolo de Festa35 Medio Ninho Chocolate;1;R$ 160,00
25/01/2024;Bolo de Festa40 Corte  Chocolate;1;R$ 140,00
